Method,Path,Delegated Permissions,App Permissions,Owner,In v1.0,Has Granular Permissions,v1.0 + granular,Doc link
GET   ,/users/{user-id | user-principal-name}/chats,Chat.ReadBasic  Chat.Read  Chat.ReadWrite,Chat.ReadBasic.All  Chat.Read.All  Chat.ReadWrite.All,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/chat-list?view=graph-rest-beta
GET   ,/users/{user-id | user-principal-name}/chats/{id},Chat.ReadBasic  Chat.Read  Chat.ReadWrite,ChatSettings.Read.Chat  ChatSettings.ReadWrite.Chat  Chat.Manage.Chat  Chat.ReadBasic.All  Chat.Read.All  Chat.ReadWrite.All,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/chat-get?view=graph-rest-beta
GET   ,/users/{user-id | user-principal-name}/chats/{id}/members,ChatMember.Read  ChatMember.ReadWrite  Chat.ReadBasic  Chat.Read  Chat.ReadWrite,ChatMember.Read.Chat  Chat.Manage.Chat  ChatMember.Read.All  ChatMember.ReadWrite.All  Chat.ReadBasic.All  Chat.Read.All  Chat.ReadWrite.All,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/chat-list-members?view=graph-rest-beta
GET   ,/users/{user-id | user-principal-name}/chats/{id}/members/{id},ChatMember.Read  ChatMember.ReadWrite  Chat.ReadBasic  Chat.Read  Chat.ReadWrite,ChatMember.Read.Chat  Chat.Manage.Chat  ChatMember.Read.All  ChatMember.ReadWrite.All  Chat.ReadBasic.All  Chat.Read.All  Chat.ReadWrite.All,GraphFw,False,True,False,https://docs.microsoft.com/graph/api/chat-get-members?view=graph-rest-beta
GET   ,/users/{user-id | user-principal-name}/chats/{id}/messages,Chat.Read  Chat.ReadWrite,ChatMessage.Read.Chat  Chat.Read.All  Chat.ReadWrite.All,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/chat-list-messages?view=graph-rest-beta
GET   ,/users/{user-id | user-principal-name}/chats/{id}/messages/{id},ChannelMessage.Read.All  Group.Read.All  Group.ReadWrite.All,ChannelMessage.Read.Group  ChannelMessage.Read.All  Group.Read.All  Group.ReadWrite.All,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/chatmessage-get?view=graph-rest-beta
GET   ,/users/{user-id | user-principal-name}/chats/{id}/messages/{id}/hostedContents,ChannelMessage.Read.All  Group.Read.All  Group.ReadWrite.All,ChannelMessage.Read.Group  ChannelMessage.Read.All  Group.Read.All  Group.ReadWrite.All,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/chatmessage-list-hostedcontents?view=graph-rest-beta
GET   ,/users/{user-id | user-principal-name}/chats/{id}/messages/{id}/hostedContents/{id},ChannelMessage.Read.All  Group.Read.All  Group.ReadWrite.All,ChannelMessage.Read.Group  ChannelMessage.Read.All  Group.Read.All  Group.ReadWrite.All,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/chatmessagehostedcontent-get?view=graph-rest-beta
GET   ,/users/{user-id | user-principal-name}/teamwork/installedApps,TeamsAppInstallation.ReadForUser  TeamsAppInstallation.ReadWriteSelfForUser  TeamsAppInstallation.ReadWriteForUser,TeamsAppInstallation.ReadForUser.All  TeamsAppInstallation.ReadWriteSelfForUser.All  TeamsAppInstallation.ReadWriteForUser.All,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/userteamwork-list-installedapps?view=graph-rest-beta
POST  ,/users/{user-id | user-principal-name}/teamwork/installedApps,TeamsAppInstallation.ReadWriteSelfForUser  TeamsAppInstallation.ReadWriteForUser,TeamsAppInstallation.ReadWriteSelfForUser.All  TeamsAppInstallation.ReadWriteForUser.All,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/userteamwork-post-installedapps?view=graph-rest-beta
